_id,lon,lat,created_at
ObjectId("5ea2ff2cd5f5c837da1a7611"),-61.2273738,14.8215045,""2019-12-22T21:00:58.298Z""
ObjectId("5ea2ff2cd5f5c837da1a7612"),-61.2191253,14.8422158,""2019-12-22T19:16:30.075Z""
ObjectId("5ea2ff2cd5f5c837da1a7613"),-61.2187453,14.8424762,""2019-12-22T19:20:03.093Z""
ObjectId("5ea2ff2cd5f5c837da1a7614"),-61.2175765,14.8398293,""2019-12-22T20:47:24.146Z""
ObjectId("5ea2ff2cd5f5c837da1a7615"),-61.2175325,14.8393458,""2019-12-22T19:06:04.797Z""
ObjectId("5ea2ff2cd5f5c837da1a7616"),-61.2174741,14.8376472,""2019-12-22T18:56:29.310Z""
ObjectId("5ea2ff2cd5f5c837da1a7617"),-61.2173722,14.8410193,""2019-12-22T19:10:21.218Z""
ObjectId("5ea2ff2cd5f5c837da1a7618"),-61.2172109,14.8387434,""2019-12-22T19:01:56.142Z""
ObjectId("5ea2ff2cd5f5c837da1a7619"),-61.2169985,14.8383853,""2019-12-22T20:51:09.161Z""
ObjectId("5ea2ff2cd5f5c837da1a761a"),-61.164892,14.694091,""2019-12-22T18:16:44.183Z""
ObjectId("5ea2ff2cd5f5c837da1a761b"),-61.07397,14.6024169,""2019-12-22T22:00:02.021Z""
ObjectId("5ea2ff2cd5f5c837da1a761c"),-61.0709595,14.6041289,""2019-12-22T16:47:34.304Z""
ObjectId("5ea2ff2cd5f5c837da1a761d"),-61.0709153,14.6022854,""2019-12-22T16:15:13.994Z""
ObjectId("5ea2ff2cd5f5c837da1a761e"),-61.0701551,14.6053444,""2019-12-22T16:52:39.164Z""
ObjectId("5ea2ff2cd5f5c837da1a761f"),-61.0699681,14.6032773,""2019-12-22T16:12:21.991Z""
ObjectId("5ea2ff2cd5f5c837da1a7620"),-61.0699016,14.6030934,""2019-12-22T17:49:18.166Z""
ObjectId("5ea2ff2cd5f5c837da1a7621"),-61.0694813,14.602868,""2019-12-22T16:10:29.515Z""
ObjectId("5ea2ff2cd5f5c837da1a7622"),-61.0680264,14.6047783,""2019-12-22T16:35:47.865Z""
ObjectId("5ea2ff2cd5f5c837da1a7623"),-61.0013086,14.5961503,""2019-12-15T21:36:15.699Z""
ObjectId("5ea2ff2cd5f5c837da1a7624"),-61.0009015,14.5961998,""2019-12-25T23:08:29.226Z""
ObjectId("5ea2ff2cd5f5c837da1a7625"),-61.000654,14.5949105,""2019-12-26T01:38:43.419Z""
ObjectId("5ea2ff2cd5f5c837da1a7626"),-61.0005956,14.5954916,""2019-12-25T23:45:08.288Z""
ObjectId("5ea2ff2cd5f5c837da1a7627"),-61.0005519,14.5954836,""2019-12-26T01:45:08.321Z""
